selection,cat_a,cat_b,n_a,n_b,intersection,jaccard,overlap_coefficient,ci_lo,ci_hi,expected_jaccard_chance,p_upper_vs_chance,perm_null_median,p_lower_vs_shared
top10,A,B,10,10,2,0.1111111111111111,0.2,0.0,0.17647058823529413,0.013192612137203168,0.024606429031659598,0.8181818181818182,0.0
top10,A,C,10,10,3,0.17647058823529413,0.3,0.0,0.25,0.013192612137203168,0.001395053730985183,0.8181818181818182,0.0
top10,B,C,10,10,4,0.25,0.4,0.17647058823529413,0.3333333333333333,0.013192612137203168,4.580030751273784e-05,0.42857142857142855,0.0359
