selection,cat_a,cat_b,n_a,n_b,intersection,jaccard,ci_lo,ci_hi,expected_jaccard_chance,p_upper_vs_chance,perm_null_median,p_lower_vs_shared
top10,A,B,10,10,3,0.17647058823529413,0.1111111111111111,0.3333333333333333,0.03597122302158273,0.022600130612875868,0.6666666666666666,0.0
top10,A,C,10,10,5,0.3333333333333333,0.25,0.42857142857142855,0.03597122302158273,0.00011319956275378645,0.5384615384615384,0.001
top10,B,C,10,10,4,0.25,0.17647058823529413,0.42857142857142855,0.03597122302158273,0.0020772987097341464,0.6666666666666666,0.0008
